,open_time,o,h,l,c,v,close_time
2021-12-21 14:00:00,1640088000000,48866.92000000,48902.00000000,48801.17000000,48897.31000000,290.31034000,1640088899999
2021-12-21 14:15:00,1640088900000,48897.32000000,49200.00000000,48860.88000000,49090.83000000,1034.91342000,1640089799999
2021-12-21 14:30:00,1640089800000,49090.83000000,49328.96000000,49016.13000000,49082.20000000,860.10646000,1640090699999
2021-12-21 14:45:00,1640090700000,49082.19000000,49138.89000000,48641.35000000,48735.49000000,889.01835000,1640091599999
2021-12-21 15:00:00,1640091600000,48735.49000000,48830.43000000,48575.09000000,48649.99000000,540.33222000,1640092499999
2021-12-21 15:15:00,1640092500000,48649.99000000,48865.62000000,48600.99000000,48821.35000000,368.17537000,1640093399999
2021-12-21 15:30:00,1640093400000,48821.35000000,48970.88000000,48761.77000000,48852.20000000,362.57070000,1640094299999
2021-12-21 15:45:00,1640094300000,48852.21000000,48956.04000000,48774.81000000,48909.49000000,292.92606000,1640095199999
2021-12-21 16:00:00,1640095200000,48909.49000000,48966.20000000,48825.74000000,48853.61000000,300.42901000,1640096099999
2021-12-21 16:15:00,1640096100000,48853.62000000,48861.71000000,48616.52000000,48663.23000000,401.00051000,1640096999999
2021-12-21 16:30:00,1640097000000,48663.24000000,48906.57000000,48661.09000000,48767.61000000,342.12898000,1640097899999
2021-12-21 16:45:00,1640097900000,48767.61000000,48774.44000000,48520.00000000,48624.01000000,409.64474000,1640098799999
2021-12-21 17:00:00,1640098800000,48624.01000000,48718.22000000,48569.81000000,48649.49000000,362.10936000,1640099699999
2021-12-21 17:15:00,1640099700000,48649.50000000,48788.87000000,48431.25000000,48457.41000000,453.09378000,1640100599999
2021-12-21 17:30:00,1640100600000,48457.42000000,48534.80000000,48265.24000000,48443.88000000,928.07653000,1640101499999
2021-12-21 17:45:00,1640101500000,48446.63000000,48546.20000000,48400.05000000,48418.49000000,465.80639000,1640102399999
2021-12-21 18:00:00,1640102400000,48418.48000000,48657.63000000,48381.57000000,48613.91000000,463.31419000,1640103299999
2021-12-21 18:15:00,1640103300000,48613.91000000,48614.01000000,48456.19000000,48524.15000000,264.08309000,1640104199999
2021-12-21 18:30:00,1640104200000,48524.15000000,48720.31000000,48476.33000000,48674.01000000,204.34222000,1640105099999
2021-12-21 18:45:00,1640105100000,48674.02000000,48746.97000000,48615.11000000,48685.19000000,205.42985000,1640105999999
2021-12-21 19:00:00,1640106000000,48685.18000000,48807.52000000,48621.35000000,48722.99000000,231.28101000,1640106899999
2021-12-21 19:15:00,1640106900000,48723.00000000,48876.94000000,48654.68000000,48657.13000000,272.91964000,1640107799999
2021-12-21 19:30:00,1640107800000,48657.12000000,48726.22000000,48628.07000000,48662.18000000,132.44930000,1640108699999
2021-12-21 19:45:00,1640108700000,48662.17000000,48668.47000000,48570.32000000,48655.17000000,302.00990000,1640109599999
2021-12-21 20:00:00,1640109600000,48655.16000000,48684.93000000,48577.67000000,48591.73000000,372.81526000,1640110499999
2021-12-21 20:15:00,1640110500000,48591.73000000,48619.82000000,48490.28000000,48539.46000000,171.16396000,1640111399999
2021-12-21 20:30:00,1640111400000,48544.00000000,48600.00000000,48530.00000000,48571.99000000,117.83980000,1640112299999
2021-12-21 20:45:00,1640112300000,48572.00000000,48606.63000000,48402.00000000,48441.51000000,301.20854000,1640113199999
2021-12-21 21:00:00,1640113200000,48441.51000000,48550.00000000,48427.72000000,48534.52000000,166.07970000,1640114099999
2021-12-21 21:15:00,1640114100000,48534.51000000,48576.14000000,48515.35000000,48541.91000000,158.58443000,1640114999999
2021-12-21 21:30:00,1640115000000,48541.90000000,48559.00000000,48352.12000000,48358.23000000,207.87140000,1640115899999
2021-12-21 21:45:00,1640115900000,48358.24000000,48660.92000000,48332.50000000,48619.79000000,330.79935000,1640116799999
2021-12-21 22:00:00,1640116800000,48619.80000000,48791.95000000,48577.67000000,48703.93000000,279.71251000,1640117699999
2021-12-21 22:15:00,1640117700000,48703.93000000,48716.30000000,48487.32000000,48534.54000000,176.54317000,1640118599999
2021-12-21 22:30:00,1640118600000,48534.54000000,48567.65000000,48475.04000000,48502.16000000,203.21204000,1640119499999
2021-12-21 22:45:00,1640119500000,48502.15000000,48682.32000000,48461.47000000,48608.95000000,154.03536000,1640120399999
2021-12-21 23:00:00,1640120400000,48608.94000000,48702.47000000,48528.89000000,48680.82000000,190.74324000,1640121299999
2021-12-21 23:15:00,1640121300000,48680.81000000,48775.70000000,48654.73000000,48770.05000000,232.20330000,1640122199999
2021-12-21 23:30:00,1640122200000,48770.06000000,49177.00000000,48732.68000000,49161.82000000,520.03499000,1640123099999
2021-12-21 23:45:00,1640123100000,49161.82000000,49172.92000000,48900.28000000,49084.25000000,417.58097000,1640123999999
2021-12-22 00:00:00,1640124000000,49084.24000000,49085.95000000,48966.98000000,48998.00000000,188.47134000,1640124899999
2021-12-22 00:15:00,1640124900000,48998.00000000,49070.60000000,48952.74000000,48990.00000000,144.62783000,1640125799999
2021-12-22 00:30:00,1640125800000,48990.01000000,49110.89000000,48943.61000000,49055.00000000,183.67903000,1640126699999
2021-12-22 00:45:00,1640126700000,49055.00000000,49287.93000000,49034.12000000,49287.92000000,356.72199000,1640127599999
2021-12-22 01:00:00,1640127600000,49287.92000000,49287.93000000,49102.00000000,49115.21000000,284.75019000,1640128499999
2021-12-22 01:15:00,1640128500000,49115.22000000,49212.81000000,49031.66000000,49200.79000000,212.03738000,1640129399999
2021-12-22 01:30:00,1640129400000,49200.79000000,49249.70000000,49067.31000000,49073.53000000,231.89944000,1640130299999
2021-12-22 01:45:00,1640130300000,49073.53000000,49076.41000000,48840.01000000,48889.88000000,291.64889000,1640131199999
2021-12-22 02:00:00,1640131200000,48887.59000000,48992.50000000,48762.33000000,48899.99000000,356.82488000,1640132099999
2021-12-22 02:15:00,1640132100000,48899.99000000,48963.65000000,48899.99000000,48930.01000000,197.94016000,1640132999999
2021-12-22 02:30:00,1640133000000,48930.00000000,48957.03000000,48850.83000000,48862.25000000,181.83053000,1640133899999
2021-12-22 02:45:00,1640133900000,48862.25000000,48888.00000000,48630.01000000,48644.13000000,290.76620000,1640134799999
2021-12-22 03:00:00,1640134800000,48644.12000000,48698.49000000,48600.00000000,48676.59000000,204.24316000,1640135699999
2021-12-22 03:15:00,1640135700000,48676.59000000,48847.14000000,48676.58000000,48837.39000000,176.88351000,1640136599999
2021-12-22 03:30:00,1640136600000,48837.39000000,48845.38000000,48712.85000000,48754.88000000,138.51168000,1640137499999
2021-12-22 03:45:00,1640137500000,48754.87000000,48832.33000000,48727.54000000,48818.89000000,223.28991000,1640138399999
2021-12-22 04:00:00,1640138400000,48818.90000000,49048.19000000,48727.47000000,48996.98000000,287.48129000,1640139299999
2021-12-22 04:15:00,1640139300000,48996.97000000,49270.00000000,48975.01000000,49236.05000000,445.27826000,1640140199999
2021-12-22 04:30:00,1640140200000,49236.05000000,49576.13000000,49229.36000000,49444.43000000,939.97898000,1640141099999
2021-12-22 04:45:00,1640141100000,49444.44000000,49546.72000000,49310.00000000,49326.50000000,315.22903000,1640141999999
2021-12-22 05:00:00,1640142000000,49327.24000000,49446.35000000,49211.03000000,49240.18000000,269.64683000,1640142899999
2021-12-22 05:15:00,1640142900000,49240.18000000,49358.50000000,49240.18000000,49258.54000000,221.67529000,1640143799999
2021-12-22 05:30:00,1640143800000,49258.54000000,49330.00000000,49250.00000000,49324.99000000,140.13409000,1640144699999
2021-12-22 05:45:00,1640144700000,49324.99000000,49390.02000000,49141.15000000,49249.00000000,261.36432000,1640145599999
2021-12-22 06:00:00,1640145600000,49249.00000000,49347.90000000,49081.78000000,49233.77000000,463.74585000,1640146499999
2021-12-22 06:15:00,1640146500000,49233.76000000,49299.23000000,49178.57000000,49278.46000000,175.69199000,1640147399999
2021-12-22 06:30:00,1640147400000,49278.46000000,49320.00000000,49201.00000000,49280.00000000,194.87082000,1640148299999
2021-12-22 06:45:00,1640148300000,49279.99000000,49324.99000000,49239.99000000,49312.40000000,191.96931000,1640149199999
2021-12-22 07:00:00,1640149200000,49312.40000000,49331.90000000,49180.01000000,49185.69000000,174.93303000,1640150099999
2021-12-22 07:15:00,1640150100000,49185.68000000,49216.60000000,49047.54000000,49058.46000000,234.92209000,1640150999999
2021-12-22 07:30:00,1640151000000,49058.45000000,49079.82000000,49007.48000000,49076.94000000,201.88322000,1640151899999
2021-12-22 07:45:00,1640151900000,49076.94000000,49084.90000000,48914.07000000,48964.88000000,336.61878000,1640152799999
2021-12-22 08:00:00,1640152800000,48964.87000000,49072.29000000,48922.33000000,49061.51000000,249.45731000,1640153699999
2021-12-22 08:15:00,1640153700000,49061.50000000,49134.74000000,49032.00000000,49120.46000000,167.39164000,1640154599999
2021-12-22 08:30:00,1640154600000,49120.46000000,49230.55000000,49120.46000000,49209.99000000,300.94575000,1640155499999
2021-12-22 08:45:00,1640155500000,49209.99000000,49211.00000000,49054.09000000,49057.21000000,149.73884000,1640156399999
2021-12-22 09:00:00,1640156400000,49057.22000000,49225.67000000,49055.74000000,49211.94000000,163.69371000,1640157299999
2021-12-22 09:15:00,1640157300000,49211.94000000,49288.95000000,49170.07000000,49207.35000000,212.47840000,1640158199999
2021-12-22 09:30:00,1640158200000,49207.36000000,49256.34000000,49153.92000000,49223.21000000,215.41606000,1640159099999
2021-12-22 09:45:00,1640159100000,49223.21000000,49300.00000000,49182.16000000,49206.42000000,205.09217000,1640159999999
2021-12-22 10:00:00,1640160000000,49206.43000000,49260.11000000,49099.54000000,49230.64000000,397.65191000,1640160899999
2021-12-22 10:15:00,1640160900000,49230.64000000,49490.00000000,49207.00000000,49370.79000000,403.08880000,1640161799999
2021-12-22 10:30:00,1640161800000,49370.78000000,49535.00000000,49233.95000000,49460.52000000,485.11074000,1640162699999
2021-12-22 10:45:00,1640162700000,49460.52000000,49488.85000000,49258.01000000,49258.01000000,287.55484000,1640163599999
2021-12-22 11:00:00,1640163600000,49260.22000000,49325.00000000,49250.71000000,49312.40000000,210.92535000,1640164499999
2021-12-22 11:15:00,1640164500000,49315.33000000,49315.34000000,49143.10000000,49146.83000000,247.43395000,1640165399999
2021-12-22 11:30:00,1640165400000,49146.84000000,49173.15000000,48867.00000000,48987.67000000,501.14641000,1640166299999
2021-12-22 11:45:00,1640166300000,48987.68000000,49000.00000000,48830.29000000,48941.35000000,452.48346000,1640167199999
2021-12-22 12:00:00,1640167200000,48941.35000000,49103.36000000,48862.74000000,49084.01000000,300.31307000,1640168099999
2021-12-22 12:15:00,1640168100000,49084.00000000,49100.00000000,49017.66000000,49029.14000000,189.77359000,1640168999999
2021-12-22 12:30:00,1640169000000,49029.15000000,49056.80000000,48937.99000000,49016.13000000,210.96615000,1640169899999
2021-12-22 12:45:00,1640169900000,49016.13000000,49150.00000000,49016.12000000,49084.17000000,204.71677000,1640170799999
2021-12-22 13:00:00,1640170800000,49084.17000000,49234.69000000,49076.93000000,49196.21000000,287.05419000,1640171699999
2021-12-22 13:15:00,1640171700000,49196.22000000,49226.45000000,49016.70000000,49028.80000000,220.96132000,1640172599999
2021-12-22 13:30:00,1640172600000,49028.81000000,49089.98000000,48977.00000000,48983.80000000,298.55532000,1640173499999
2021-12-22 13:45:00,1640173500000,48983.80000000,49011.22000000,48891.63000000,48981.99000000,255.49072000,1640174399999
2021-12-22 14:00:00,1640174400000,48981.98000000,49123.62000000,48978.98000000,49121.69000000,250.72101000,1640175299999
2021-12-22 14:15:00,1640175300000,49119.01000000,49123.59000000,48687.00000000,48808.87000000,605.69623000,1640176199999
2021-12-22 14:30:00,1640176200000,48808.86000000,48829.97000000,48622.55000000,48730.00000000,549.05055000,1640177099999
2021-12-22 14:45:00,1640177100000,48730.00000000,48797.53000000,48512.00000000,48578.37000000,612.94964000,1640177999999
2021-12-22 15:00:00,1640178000000,48578.36000000,48790.95000000,48567.09000000,48669.41000000,308.69401000,1640178899999
2021-12-22 15:15:00,1640178900000,48669.40000000,48708.27000000,48448.98000000,48492.89000000,444.94184000,1640179799999
2021-12-22 15:30:00,1640179800000,48492.88000000,48589.21000000,48421.87000000,48506.32000000,310.62258000,1640180699999
2021-12-22 15:45:00,1640180700000,48506.31000000,48610.00000000,48443.77000000,48560.00000000,373.30750000,1640181599999
2021-12-22 16:00:00,1640181600000,48560.00000000,48752.30000000,48521.18000000,48685.17000000,330.15637000,1640182499999
2021-12-22 16:15:00,1640182500000,48685.17000000,48783.99000000,48650.00000000,48766.00000000,264.83968000,1640183399999
2021-12-22 16:30:00,1640183400000,48766.00000000,48865.37000000,48637.73000000,48850.95000000,298.90229000,1640184299999
2021-12-22 16:45:00,1640184300000,48850.95000000,48949.99000000,48770.05000000,48805.05000000,352.46519000,1640185199999
2021-12-22 17:00:00,1640185200000,48805.04000000,48865.18000000,48700.90000000,48735.01000000,252.00000000,1640186099999
2021-12-22 17:15:00,1640186100000,48735.02000000,48848.18000000,48632.00000000,48633.40000000,217.25702000,1640186999999
2021-12-22 17:30:00,1640187000000,48632.57000000,48899.00000000,48624.15000000,48828.92000000,281.56291000,1640187899999
2021-12-22 17:45:00,1640187900000,48828.02000000,48906.76000000,48781.62000000,48879.28000000,260.35963000,1640188799999
2021-12-22 18:00:00,1640188800000,48879.28000000,49245.81000000,48757.82000000,49131.80000000,590.51594000,1640189699999
2021-12-22 18:15:00,1640189700000,49131.79000000,49199.99000000,48920.01000000,48997.53000000,315.14293000,1640190599999
2021-12-22 18:30:00,1640190600000,48992.46000000,49079.98000000,48950.00000000,48964.83000000,221.92581000,1640191499999
