,open_time,o,h,l,c,v,close_time
2021-12-21 14:00:00,1640088000000,48866.92000000,48902.00000000,48801.17000000,48850.12000000,124.65290000,1640088299999
2021-12-21 14:05:00,1640088300000,48850.11000000,48865.76000000,48812.78000000,48851.00000000,86.18842000,1640088599999
2021-12-21 14:10:00,1640088600000,48850.99000000,48900.00000000,48821.05000000,48897.31000000,79.46902000,1640088899999
2021-12-21 14:15:00,1640088900000,48897.32000000,48999.00000000,48860.88000000,48965.00000000,150.42292000,1640089199999
2021-12-21 14:20:00,1640089200000,48965.01000000,49200.00000000,48938.02000000,49015.00000000,654.78647000,1640089499999
2021-12-21 14:25:00,1640089500000,49015.00000000,49167.13000000,49006.69000000,49090.83000000,229.70403000,1640089799999
2021-12-21 14:30:00,1640089800000,49090.83000000,49278.00000000,49088.27000000,49273.60000000,342.44302000,1640090099999
2021-12-21 14:35:00,1640090100000,49273.60000000,49328.96000000,49136.55000000,49164.00000000,339.42988000,1640090399999
2021-12-21 14:40:00,1640090400000,49164.00000000,49165.99000000,49016.13000000,49082.20000000,178.23356000,1640090699999
2021-12-21 14:45:00,1640090700000,49082.19000000,49138.89000000,48854.65000000,48923.10000000,346.95076000,1640090999999
2021-12-21 14:50:00,1640091000000,48923.10000000,48987.44000000,48809.97000000,48834.71000000,249.73916000,1640091299999
2021-12-21 14:55:00,1640091300000,48830.00000000,48894.99000000,48641.35000000,48735.49000000,292.32843000,1640091599999
2021-12-21 15:00:00,1640091600000,48735.49000000,48830.43000000,48683.91000000,48812.55000000,190.16151000,1640091899999
2021-12-21 15:05:00,1640091900000,48812.54000000,48830.40000000,48649.79000000,48654.99000000,118.64584000,1640092199999
2021-12-21 15:10:00,1640092200000,48655.00000000,48672.42000000,48575.09000000,48649.99000000,231.52487000,1640092499999
2021-12-21 15:15:00,1640092500000,48649.99000000,48736.50000000,48600.99000000,48660.10000000,132.50299000,1640092799999
2021-12-21 15:20:00,1640092800000,48660.10000000,48761.69000000,48624.04000000,48692.63000000,90.49859000,1640093099999
2021-12-21 15:25:00,1640093100000,48697.65000000,48865.62000000,48691.12000000,48821.35000000,145.17379000,1640093399999
2021-12-21 15:30:00,1640093400000,48821.35000000,48900.00000000,48761.77000000,48849.28000000,120.35903000,1640093699999
2021-12-21 15:35:00,1640093700000,48849.28000000,48970.88000000,48807.46000000,48850.00000000,156.34795000,1640093999999
2021-12-21 15:40:00,1640094000000,48849.99000000,48870.00000000,48796.11000000,48852.20000000,85.86372000,1640094299999
2021-12-21 15:45:00,1640094300000,48852.21000000,48909.94000000,48774.81000000,48778.09000000,88.20566000,1640094599999
2021-12-21 15:50:00,1640094600000,48778.09000000,48892.99000000,48775.64000000,48886.74000000,78.99737000,1640094899999
2021-12-21 15:55:00,1640094900000,48886.75000000,48956.04000000,48837.00000000,48909.49000000,125.72303000,1640095199999
2021-12-21 16:00:00,1640095200000,48909.49000000,48966.20000000,48832.52000000,48837.26000000,130.13179000,1640095499999
2021-12-21 16:05:00,1640095500000,48833.25000000,48922.44000000,48825.74000000,48860.00000000,88.61065000,1640095799999
2021-12-21 16:10:00,1640095800000,48860.00000000,48933.03000000,48826.42000000,48853.61000000,81.68657000,1640096099999
2021-12-21 16:15:00,1640096100000,48853.62000000,48861.71000000,48715.37000000,48735.00000000,135.33147000,1640096399999
2021-12-21 16:20:00,1640096400000,48735.00000000,48735.00000000,48616.52000000,48643.89000000,143.04126000,1640096699999
2021-12-21 16:25:00,1640096700000,48643.89000000,48741.95000000,48643.88000000,48663.23000000,122.62778000,1640096999999
2021-12-21 16:30:00,1640097000000,48663.24000000,48789.45000000,48661.09000000,48729.99000000,111.35966000,1640097299999
2021-12-21 16:35:00,1640097300000,48730.00000000,48906.57000000,48713.41000000,48869.16000000,118.41748000,1640097599999
2021-12-21 16:40:00,1640097600000,48869.16000000,48883.59000000,48728.01000000,48767.61000000,112.35184000,1640097899999
2021-12-21 16:45:00,1640097900000,48767.61000000,48774.44000000,48592.40000000,48601.00000000,138.91308000,1640098199999
2021-12-21 16:50:00,1640098200000,48601.01000000,48662.69000000,48520.00000000,48576.42000000,165.92134000,1640098499999
2021-12-21 16:55:00,1640098500000,48576.43000000,48650.00000000,48564.26000000,48624.01000000,104.81032000,1640098799999
2021-12-21 17:00:00,1640098800000,48624.01000000,48718.22000000,48606.63000000,48607.33000000,91.52085000,1640099099999
2021-12-21 17:05:00,1640099100000,48607.32000000,48674.06000000,48569.81000000,48613.62000000,160.78176000,1640099399999
2021-12-21 17:10:00,1640099400000,48613.62000000,48677.23000000,48585.93000000,48649.49000000,109.80675000,1640099699999
2021-12-21 17:15:00,1640099700000,48649.50000000,48771.95000000,48632.00000000,48709.58000000,92.22889000,1640099999999
