,open_time,o,h,l,c,v,close_time
2021-12-21 15:01:00,1640091660000,48778.13000000,48805.64000000,48718.13000000,48719.69000000,42.41853000,1640091719999
2021-12-21 15:02:00,1640091720000,48719.69000000,48759.96000000,48683.91000000,48704.99000000,33.15398000,1640091779999
2021-12-21 15:03:00,1640091780000,48704.99000000,48798.99000000,48685.77000000,48793.09000000,28.35551000,1640091839999
2021-12-21 15:04:00,1640091840000,48793.09000000,48830.43000000,48765.88000000,48812.55000000,28.33902000,1640091899999
2021-12-21 15:05:00,1640091900000,48812.54000000,48830.40000000,48777.28000000,48788.61000000,19.34209000,1640091959999
2021-12-21 15:06:00,1640091960000,48788.62000000,48807.93000000,48745.01000000,48760.93000000,22.09027000,1640092019999
2021-12-21 15:07:00,1640092020000,48760.93000000,48796.03000000,48741.17000000,48751.37000000,19.90395000,1640092079999
2021-12-21 15:08:00,1640092080000,48751.37000000,48751.37000000,48687.71000000,48696.02000000,19.71704000,1640092139999
2021-12-21 15:09:00,1640092140000,48696.02000000,48707.54000000,48649.79000000,48654.99000000,37.59249000,1640092199999
2021-12-21 15:10:00,1640092200000,48655.00000000,48672.42000000,48588.00000000,48627.42000000,40.83620000,1640092259999
2021-12-21 15:11:00,1640092260000,48627.42000000,48640.10000000,48575.09000000,48609.68000000,48.30274000,1640092319999
2021-12-21 15:12:00,1640092320000,48609.69000000,48657.63000000,48579.15000000,48609.57000000,51.33562000,1640092379999
2021-12-21 15:13:00,1640092380000,48609.57000000,48626.00000000,48601.09000000,48609.02000000,46.08500000,1640092439999
2021-12-21 15:14:00,1640092440000,48609.02000000,48657.62000000,48609.02000000,48649.99000000,44.96531000,1640092499999
2021-12-21 15:15:00,1640092500000,48649.99000000,48666.97000000,48645.00000000,48660.78000000,18.57448000,1640092559999
2021-12-21 15:16:00,1640092560000,48660.79000000,48731.06000000,48660.78000000,48722.70000000,34.53620000,1640092619999
2021-12-21 15:17:00,1640092620000,48722.70000000,48736.50000000,48695.74000000,48700.51000000,22.56073000,1640092679999
2021-12-21 15:18:00,1640092680000,48700.51000000,48714.65000000,48668.76000000,48668.77000000,24.37114000,1640092739999
2021-12-21 15:19:00,1640092740000,48668.76000000,48670.45000000,48600.99000000,48660.10000000,32.46044000,1640092799999
2021-12-21 15:20:00,1640092800000,48660.10000000,48664.60000000,48624.04000000,48655.61000000,17.13841000,1640092859999
2021-12-21 15:21:00,1640092860000,48655.62000000,48693.72000000,48639.03000000,48688.15000000,18.03895000,1640092919999
2021-12-21 15:22:00,1640092920000,48688.15000000,48733.78000000,48688.15000000,48718.52000000,22.27072000,1640092979999
2021-12-21 15:23:00,1640092980000,48718.52000000,48761.69000000,48718.52000000,48745.57000000,13.83874000,1640093039999
2021-12-21 15:24:00,1640093040000,48745.58000000,48746.73000000,48688.89000000,48692.63000000,19.21177000,1640093099999
2021-12-21 15:25:00,1640093100000,48697.65000000,48760.00000000,48691.12000000,48760.00000000,22.43914000,1640093159999
2021-12-21 15:26:00,1640093160000,48760.00000000,48815.01000000,48759.97000000,48800.01000000,35.09831000,1640093219999
2021-12-21 15:27:00,1640093220000,48800.01000000,48817.70000000,48781.02000000,48789.99000000,21.40690000,1640093279999
2021-12-21 15:28:00,1640093280000,48790.00000000,48865.62000000,48789.99000000,48828.16000000,39.50642000,1640093339999
2021-12-21 15:29:00,1640093340000,48828.16000000,48848.90000000,48803.00000000,48821.35000000,26.72302000,1640093399999
2021-12-21 15:30:00,1640093400000,48821.35000000,48858.99000000,48799.01000000,48803.60000000,19.86902000,1640093459999
2021-12-21 15:31:00,1640093460000,48803.60000000,48828.95000000,48790.20000000,48797.07000000,19.06110000,1640093519999
2021-12-21 15:32:00,1640093520000,48797.07000000,48809.99000000,48761.77000000,48769.91000000,31.39950000,1640093579999
2021-12-21 15:33:00,1640093580000,48766.73000000,48836.38000000,48766.73000000,48823.00000000,15.09897000,1640093639999
2021-12-21 15:34:00,1640093640000,48822.99000000,48900.00000000,48822.99000000,48849.28000000,34.93044000,1640093699999
2021-12-21 15:35:00,1640093700000,48849.28000000,48920.00000000,48849.28000000,48917.86000000,17.27698000,1640093759999
2021-12-21 15:36:00,1640093760000,48917.86000000,48970.88000000,48900.00000000,48904.94000000,35.13134000,1640093819999
2021-12-21 15:37:00,1640093820000,48904.94000000,48929.70000000,48882.36000000,48884.41000000,39.32678000,1640093879999
2021-12-21 15:38:00,1640093880000,48884.42000000,48889.54000000,48834.01000000,48836.23000000,39.07759000,1640093939999
2021-12-21 15:39:00,1640093940000,48836.18000000,48850.00000000,48807.46000000,48850.00000000,25.53526000,1640093999999
2021-12-21 15:40:00,1640094000000,48849.99000000,48850.00000000,48796.11000000,48805.83000000,19.36658000,1640094059999
2021-12-21 15:41:00,1640094060000,48805.82000000,48830.31000000,48798.88000000,48814.42000000,22.07531000,1640094119999
2021-12-21 15:42:00,1640094120000,48814.43000000,48863.70000000,48814.42000000,48846.67000000,19.08328000,1640094179999
2021-12-21 15:43:00,1640094180000,48846.67000000,48855.00000000,48834.95000000,48850.85000000,15.85230000,1640094239999
2021-12-21 15:44:00,1640094240000,48850.85000000,48870.00000000,48843.07000000,48852.20000000,9.48625000,1640094299999
