,open_time,o,h,l,c,v,close_time
2021-12-21 14:00:00,1640088000000,48866.92000000,49328.96000000,48641.35000000,48735.49000000,3074.34857000,1640091599999
2021-12-21 15:00:00,1640091600000,48735.49000000,48970.88000000,48575.09000000,48909.49000000,1564.00435000,1640095199999
2021-12-21 16:00:00,1640095200000,48909.49000000,48966.20000000,48520.00000000,48624.01000000,1453.20324000,1640098799999
2021-12-21 17:00:00,1640098800000,48624.01000000,48788.87000000,48265.24000000,48418.49000000,2209.08606000,1640102399999
2021-12-21 18:00:00,1640102400000,48418.48000000,48746.97000000,48381.57000000,48685.19000000,1137.16935000,1640105999999
2021-12-21 19:00:00,1640106000000,48685.18000000,48876.94000000,48570.32000000,48655.17000000,938.65985000,1640109599999
2021-12-21 20:00:00,1640109600000,48655.16000000,48684.93000000,48402.00000000,48441.51000000,963.02756000,1640113199999
2021-12-21 21:00:00,1640113200000,48441.51000000,48660.92000000,48332.50000000,48619.79000000,863.33488000,1640116799999
2021-12-21 22:00:00,1640116800000,48619.80000000,48791.95000000,48461.47000000,48608.95000000,813.50308000,1640120399999
2021-12-21 23:00:00,1640120400000,48608.94000000,49177.00000000,48528.89000000,49084.25000000,1360.56250000,1640123999999
2021-12-22 00:00:00,1640124000000,49084.24000000,49287.93000000,48943.61000000,49287.92000000,873.50019000,1640127599999
2021-12-22 01:00:00,1640127600000,49287.92000000,49287.93000000,48840.01000000,48889.88000000,1020.33590000,1640131199999
2021-12-22 02:00:00,1640131200000,48887.59000000,48992.50000000,48630.01000000,48644.13000000,1027.36177000,1640134799999
2021-12-22 03:00:00,1640134800000,48644.12000000,48847.14000000,48600.00000000,48818.89000000,742.92826000,1640138399999
2021-12-22 04:00:00,1640138400000,48818.90000000,49576.13000000,48727.47000000,49326.50000000,1987.96756000,1640141999999
2021-12-22 05:00:00,1640142000000,49327.24000000,49446.35000000,49141.15000000,49249.00000000,892.82053000,1640145599999
2021-12-22 06:00:00,1640145600000,49249.00000000,49347.90000000,49081.78000000,49312.40000000,1026.27797000,1640149199999
2021-12-22 07:00:00,1640149200000,49312.40000000,49331.90000000,48914.07000000,48964.88000000,948.35712000,1640152799999
2021-12-22 08:00:00,1640152800000,48964.87000000,49230.55000000,48922.33000000,49057.21000000,867.53354000,1640156399999
2021-12-22 09:00:00,1640156400000,49057.22000000,49300.00000000,49055.74000000,49206.42000000,796.68034000,1640159999999
2021-12-22 10:00:00,1640160000000,49206.43000000,49535.00000000,49099.54000000,49258.01000000,1573.40629000,1640163599999
2021-12-22 11:00:00,1640163600000,49260.22000000,49325.00000000,48830.29000000,48941.35000000,1411.98917000,1640167199999
2021-12-22 12:00:00,1640167200000,48941.35000000,49150.00000000,48862.74000000,49084.17000000,905.76958000,1640170799999
2021-12-22 13:00:00,1640170800000,49084.17000000,49234.69000000,48891.63000000,48981.99000000,1062.06155000,1640174399999
2021-12-22 14:00:00,1640174400000,48981.98000000,49123.62000000,48512.00000000,48578.37000000,2018.41743000,1640177999999
2021-12-22 15:00:00,1640178000000,48578.36000000,48790.95000000,48421.87000000,48560.00000000,1437.56593000,1640181599999
2021-12-22 16:00:00,1640181600000,48560.00000000,48949.99000000,48521.18000000,48805.05000000,1246.36353000,1640185199999
2021-12-22 17:00:00,1640185200000,48805.04000000,48906.76000000,48624.15000000,48879.28000000,1011.17956000,1640188799999
2021-12-22 18:00:00,1640188800000,48879.28000000,49245.81000000,48757.82000000,48998.00000000,1300.45263000,1640192399999
2021-12-22 19:00:00,1640192400000,48998.00000000,49100.00000000,48689.65000000,48702.07000000,959.87212000,1640195999999
2021-12-22 20:00:00,1640196000000,48702.07000000,48846.42000000,48524.98000000,48576.02000000,886.56148000,1640199599999
2021-12-22 21:00:00,1640199600000,48576.02000000,48950.00000000,48506.01000000,48931.99000000,799.48215000,1640203199999
2021-12-22 22:00:00,1640203200000,48931.99000000,49144.99000000,48860.47000000,48974.34000000,1309.98901000,1640206799999
2021-12-22 23:00:00,1640206800000,48974.33000000,49139.97000000,48836.72000000,49048.84000000,894.46650000,1640210399999
2021-12-23 00:00:00,1640210400000,49048.83000000,49084.45000000,48788.49000000,48977.21000000,710.47289000,1640213999999
2021-12-23 01:00:00,1640214000000,48977.21000000,48995.89000000,48555.00000000,48588.16000000,1186.22529000,1640217599999
2021-12-23 02:00:00,1640217600000,48588.17000000,48673.13000000,47920.42000000,48290.00000000,2329.67688000,1640221199999
2021-12-23 03:00:00,1640221200000,48289.99000000,48490.22000000,48069.51000000,48469.14000000,927.97520000,1640224799999
2021-12-23 04:00:00,1640224800000,48469.13000000,48731.71000000,48321.09000000,48355.40000000,1310.53817000,1640228399999
2021-12-23 05:00:00,1640228400000,48355.39000000,48555.00000000,48208.25000000,48524.11000000,795.94821000,1640231999999
2021-12-23 06:00:00,1640232000000,48524.11000000,48584.71000000,48295.51000000,48362.41000000,616.14530000,1640235599999
2021-12-23 07:00:00,1640235600000,48362.41000000,48567.10000000,48200.00000000,48384.52000000,767.30713000,1640239199999
2021-12-23 08:00:00,1640239200000,48384.53000000,48499.55000000,48265.71000000,48468.92000000,834.07255000,1640242799999
2021-12-23 09:00:00,1640242800000,48468.93000000,48500.00000000,48031.45000000,48129.60000000,1148.70861000,1640246399999
2021-12-23 10:00:00,1640246400000,48129.61000000,48363.00000000,48060.00000000,48339.90000000,998.79131000,1640249999999
2021-12-23 11:00:00,1640250000000,48339.91000000,48424.97000000,48149.00000000,48376.94000000,881.70746000,1640253599999
2021-12-23 12:00:00,1640253600000,48376.94000000,48450.00000000,48211.62000000,48434.53000000,807.06689000,1640257199999
2021-12-23 13:00:00,1640257200000,48434.53000000,48541.86000000,48227.98000000,48354.77000000,1185.40474000,1640260799999
2021-12-23 14:00:00,1640260800000,48354.76000000,48838.63000000,48323.98000000,48616.93000000,1249.92282000,1640264399999
2021-12-23 15:00:00,1640264400000,48616.94000000,48859.61000000,48584.43000000,48614.97000000,1384.61313000,1640267999999
2021-12-23 16:00:00,1640268000000,48614.96000000,48700.00000000,48464.00000000,48599.23000000,997.82265000,1640271599999
2021-12-23 17:00:00,1640271600000,48599.24000000,48849.66000000,48578.15000000,48819.33000000,992.50872000,1640275199999
2021-12-23 18:00:00,1640275200000,48819.33000000,49154.00000000,48677.52000000,49089.49000000,2038.16202000,1640278799999
2021-12-23 19:00:00,1640278800000,49089.49000000,50166.00000000,49013.00000000,50060.01000000,3915.22028000,1640282399999
2021-12-23 20:00:00,1640282400000,50060.01000000,50776.98000000,50060.00000000,50619.98000000,4053.48340000,1640285999999
2021-12-23 21:00:00,1640286000000,50619.98000000,51375.00000000,50500.00000000,51109.99000000,2934.34312000,1640289599999
2021-12-23 22:00:00,1640289600000,51110.00000000,51209.30000000,50718.66000000,50929.71000000,1825.89043000,1640293199999
2021-12-23 23:00:00,1640293200000,50929.71000000,50980.99000000,50622.75000000,50824.37000000,1290.12677000,1640296799999
2021-12-24 00:00:00,1640296800000,50824.37000000,50998.72000000,50706.45000000,50758.94000000,858.21201000,1640300399999
2021-12-24 01:00:00,1640300400000,50758.94000000,50851.11000000,50501.00000000,50838.81000000,1048.89266000,1640303999999
2021-12-24 02:00:00,1640304000000,50838.82000000,50990.00000000,50644.48000000,50877.38000000,1258.57071000,1640307599999
2021-12-24 03:00:00,1640307600000,50877.38000000,51375.00000000,50843.12000000,51350.01000000,3037.17958000,1640311199999
2021-12-24 04:00:00,1640311200000,51350.01000000,51527.58000000,51015.55000000,51044.02000000,2286.33021000,1640314799999
2021-12-24 05:00:00,1640314800000,51044.02000000,51167.46000000,50851.02000000,51029.99000000,1237.77455000,1640318399999
2021-12-24 06:00:00,1640318400000,51030.00000000,51109.09000000,50926.55000000,50951.47000000,560.59259000,1640321994362
2021-12-24 07:00:00,1640322000000,50951.41000000,51026.34000000,50828.99000000,51012.73000000,765.92466000,1640325599999
2021-12-24 08:00:00,1640325600000,51012.72000000,51012.73000000,50736.11000000,50883.73000000,955.19150000,1640329199999
2021-12-24 09:00:00,1640329200000,50883.73000000,51076.98000000,50818.10000000,50994.75000000,913.84277000,1640332799999
2021-12-24 10:00:00,1640332800000,50994.75000000,51198.00000000,50895.57000000,51069.18000000,998.78873000,1640336399999
2021-12-24 11:00:00,1640336400000,51069.18000000,51300.01000000,51034.97000000,51267.12000000,909.00254000,1640339999999
2021-12-24 12:00:00,1640340000000,51267.13000000,51271.63000000,51053.96000000,51181.29000000,780.55018000,1640343599999
2021-12-24 13:00:00,1640343600000,51181.29000000,51550.00000000,50858.00000000,50993.88000000,2212.41929000,1640347199999
2021-12-24 14:00:00,1640347200000,50993.89000000,51084.41000000,50823.39000000,51026.21000000,982.19209000,1640350799999
2021-12-24 15:00:00,1640350800000,51026.21000000,51171.74000000,50870.60000000,51040.49000000,971.86647000,1640354399999
2021-12-24 16:00:00,1640354400000,51040.49000000,51244.22000000,50668.52000000,50760.99000000,1466.83006000,1640357999999
2021-12-24 17:00:00,1640358000000,50760.99000000,50987.20000000,50384.43000000,50956.68000000,1950.43136000,1640361599999
2021-12-24 18:00:00,1640361600000,50956.68000000,51220.00000000,50826.08000000,50926.97000000,1619.27325000,1640365199999
2021-12-24 19:00:00,1640365200000,50926.96000000,51116.31000000,50735.87000000,51112.83000000,684.89831000,1640368799999
2021-12-24 20:00:00,1640368800000,51112.83000000,51638.00000000,51072.16000000,51600.48000000,1861.91217000,1640372399999
2021-12-24 21:00:00,1640372400000,51600.47000000,51810.00000000,51083.58000000,51126.40000000,1935.07156000,1640375999999
2021-12-24 22:00:00,1640376000000,51126.40000000,51236.15000000,50773.90000000,51109.18000000,1640.57091000,1640379599999
2021-12-24 23:00:00,1640379600000,51109.17000000,51135.26000000,50847.84000000,50876.44000000,598.85044000,1640383199999
2021-12-25 00:00:00,1640383200000,50876.44000000,50955.53000000,50570.16000000,50760.55000000,1001.76155000,1640386799999
2021-12-25 01:00:00,1640386800000,50760.55000000,50890.01000000,50500.00000000,50820.00000000,1032.09337000,1640390399999
2021-12-25 02:00:00,1640390400000,50819.99000000,51066.32000000,50600.00000000,51045.25000000,744.53471000,1640393999999
2021-12-25 03:00:00,1640394000000,51045.25000000,51090.00000000,50850.00000000,50992.54000000,594.85161000,1640397599999
2021-12-25 04:00:00,1640397600000,50992.55000000,51131.25000000,50768.42000000,50768.43000000,663.28411000,1640401199999
2021-12-25 05:00:00,1640401200000,50768.42000000,50932.49000000,50700.19000000,50844.14000000,533.43132000,1640404799999
2021-12-25 06:00:00,1640404800000,50844.13000000,51054.69000000,50800.79000000,50886.42000000,600.63354000,1640408399999
2021-12-25 07:00:00,1640408400000,50886.42000000,51010.42000000,50858.56000000,50886.99000000,484.58350000,1640411999999
2021-12-25 08:00:00,1640412000000,50886.99000000,50986.23000000,50656.43000000,50965.88000000,640.70759000,1640415599999
2021-12-25 09:00:00,1640415600000,50965.89000000,51084.13000000,50822.17000000,50919.17000000,782.58942000,1640419199999
2021-12-25 10:00:00,1640419200000,50919.18000000,50968.57000000,50789.00000000,50886.35000000,643.88073000,1640422799999
2021-12-25 11:00:00,1640422800000,50886.35000000,51009.29000000,50802.00000000,50807.40000000,531.81890000,1640426399999
2021-12-25 12:00:00,1640426400000,50807.39000000,50841.37000000,50555.00000000,50645.41000000,921.06352000,1640429999999
2021-12-25 13:00:00,1640430000000,50645.41000000,50816.32000000,50583.15000000,50682.97000000,537.97712000,1640433599999
2021-12-25 14:00:00,1640433600000,50682.97000000,50934.78000000,50682.96000000,50802.76000000,594.23214000,1640437199999
2021-12-25 15:00:00,1640437200000,50802.76000000,50900.00000000,50631.55000000,50847.48000000,1030.35323000,1640440799999
2021-12-25 16:00:00,1640440800000,50847.48000000,50865.55000000,50650.00000000,50744.90000000,688.75155000,1640444399999
2021-12-25 17:00:00,1640444400000,50744.89000000,50815.54000000,50650.00000000,50659.91000000,848.68752000,1640447999999
2021-12-25 18:00:00,1640448000000,50659.91000000,50765.32000000,50444.70000000,50600.02000000,1358.02780000,1640451599999
2021-12-25 19:00:00,1640451600000,50600.02000000,50849.00000000,50142.32000000,50781.75000000,2036.45313000,1640455199999
2021-12-25 20:00:00,1640455200000,50781.74000000,51156.23000000,50705.64000000,50986.34000000,1095.36984000,1640458799999
2021-12-25 21:00:00,1640458800000,50986.35000000,51062.10000000,50816.86000000,50889.15000000,477.80948000,1640462399999
2021-12-25 22:00:00,1640462400000,50889.15000000,50995.75000000,50732.58000000,50852.83000000,549.51431000,1640465999999
2021-12-25 23:00:00,1640466000000,50852.83000000,51080.00000000,50820.93000000,50960.01000000,677.25602000,1640469599999
2021-12-26 00:00:00,1640469600000,50960.01000000,50970.48000000,50554.46000000,50609.58000000,797.96415000,1640473199999
2021-12-26 01:00:00,1640473200000,50609.59000000,50691.17000000,50335.67000000,50399.66000000,1301.74089000,1640476799999
2021-12-26 02:00:00,1640476800000,50399.67000000,50561.34000000,50255.00000000,50378.41000000,1605.46199000,1640480399999
2021-12-26 03:00:00,1640480400000,50378.41000000,50672.93000000,50314.66000000,50523.25000000,913.48694000,1640483999999
2021-12-26 04:00:00,1640484000000,50523.26000000,50557.87000000,49800.00000000,50028.50000000,1962.59558000,1640487599999
2021-12-26 05:00:00,1640487600000,50028.49000000,50028.50000000,49610.00000000,49675.56000000,1885.43297000,1640491199999
2021-12-26 06:00:00,1640491200000,49675.56000000,49884.71000000,49600.95000000,49867.65000000,861.16017000,1640494799999
2021-12-26 07:00:00,1640494800000,49867.65000000,49977.07000000,49800.00000000,49862.63000000,626.04398000,1640498399999
2021-12-26 08:00:00,1640498400000,49862.64000000,49961.51000000,49804.58000000,49904.96000000,475.21303000,1640501999999
2021-12-26 09:00:00,1640502000000,49904.96000000,49974.98000000,49716.17000000,49930.39000000,545.66501000,1640505599999
2021-12-26 10:00:00,1640505600000,49930.39000000,50089.93000000,49826.01000000,49881.98000000,742.58404000,1640509199999
2021-12-26 11:00:00,1640509200000,49881.97000000,50169.17000000,49840.20000000,50012.60000000,772.37161000,1640512799999
2021-12-26 12:00:00,1640512800000,50012.61000000,50104.00000000,49924.02000000,50079.99000000,720.51634000,1640516399999
2021-12-26 13:00:00,1640516400000,50080.00000000,50125.00000000,49412.00000000,49748.89000000,1463.81011000,1640519999999
2021-12-26 14:00:00,1640520000000,49748.89000000,49964.28000000,49642.11000000,49870.53000000,756.26845000,1640523599999
2021-12-26 15:00:00,1640523600000,49870.52000000,49984.00000000,49765.20000000,49841.99000000,633.77758000,1640527199999
2021-12-26 16:00:00,1640527200000,49842.00000000,49950.00000000,49732.01000000,49901.56000000,618.67657000,1640530799999
2021-12-26 17:00:00,1640530800000,49901.57000000,50281.08000000,49900.74000000,50049.34000000,949.75752000,1640534399999
2021-12-26 18:00:00,1640534400000,50049.34000000,50400.00000000,50018.38000000,50240.53000000,854.58314000,1640537999999
2021-12-26 19:00:00,1640538000000,50240.53000000,50386.00000000,50166.08000000,50255.17000000,731.04697000,1640541599999
2021-12-26 20:00:00,1640541600000,50255.17000000,50399.00000000,50139.07000000,50351.10000000,650.75879000,1640545199999
2021-12-26 21:00:00,1640545200000,50351.10000000,50465.54000000,50212.83000000,50342.51000000,643.89318000,1640548799999
2021-12-26 22:00:00,1640548800000,50342.51000000,50382.61000000,50265.97000000,50269.44000000,387.96160000,1640552399999
2021-12-26 23:00:00,1640552400000,50269.44000000,51040.00000000,49914.73000000,50774.16000000,1890.38608000,1640555999999
2021-12-27 00:00:00,1640556000000,50776.16000000,51280.00000000,50772.00000000,50973.64000000,1221.97065000,1640559599999
2021-12-27 01:00:00,1640559600000,50973.65000000,51062.04000000,50638.16000000,50775.49000000,656.46684000,1640563199999
2021-12-27 02:00:00,1640563200000,50775.48000000,50974.97000000,50567.60000000,50622.87000000,1018.69342000,1640566799999
2021-12-27 03:00:00,1640566800000,50622.86000000,50816.31000000,50449.00000000,50787.94000000,819.30551000,1640570399999
2021-12-27 04:00:00,1640570400000,50787.93000000,50940.01000000,50669.04000000,50816.24000000,804.44240000,1640573999999
2021-12-27 05:00:00,1640574000000,50816.19000000,51150.00000000,50791.07000000,51009.02000000,1109.63762000,1640577599999
2021-12-27 06:00:00,1640577600000,51009.02000000,51093.86000000,50870.96000000,51001.51000000,1079.85491000,1640581199999
2021-12-27 07:00:00,1640581200000,51001.52000000,51020.00000000,50832.72000000,50853.02000000,747.07122000,1640584799999
2021-12-27 08:00:00,1640584800000,50853.03000000,50974.82000000,50730.53000000,50935.93000000,808.85343000,1640588399999
