,open_time,o,h,l,c,v,close_time
2021-10-05 15:15:00,1633436100000,49868.12000000,50029.44000000,49851.00000000,49914.22000000,524.46171000,1633436999999
2021-10-05 15:30:00,1633437000000,49914.22000000,50082.00000000,49854.11000000,50068.91000000,416.49414000,1633437899999
2021-10-05 15:45:00,1633437900000,50068.92000000,50110.00000000,49968.01000000,50000.00000000,450.54006000,1633438799999
2021-10-05 16:00:00,1633438800000,50000.00000000,50000.00000000,49772.63000000,49998.99000000,405.46166000,1633439699999
2021-10-05 16:15:00,1633439700000,49998.99000000,50099.23000000,49882.86000000,49903.28000000,460.66260000,1633440599999
2021-10-05 16:30:00,1633440600000,49903.29000000,50138.49000000,49897.92000000,50030.99000000,489.71297000,1633441499999
2021-10-05 16:45:00,1633441500000,50031.00000000,50320.00000000,50030.99000000,50207.96000000,752.58718000,1633442399999
2021-10-05 17:00:00,1633442400000,50207.96000000,50388.00000000,50089.96000000,50193.66000000,825.05983000,1633443299999
2021-10-05 17:15:00,1633443300000,50193.65000000,50299.00000000,49938.49000000,49973.51000000,849.07124000,1633444199999
2021-10-05 17:30:00,1633444200000,49973.51000000,50024.79000000,49575.94000000,49833.42000000,1177.44264000,1633445099999
2021-10-05 17:45:00,1633445100000,49833.42000000,49942.00000000,49750.87000000,49841.79000000,479.67465000,1633445999999
2021-10-05 18:00:00,1633446000000,49841.78000000,50112.03000000,49700.00000000,50006.00000000,693.60196000,1633446899999
2021-10-05 18:15:00,1633446900000,50005.99000000,50205.21000000,49973.30000000,49976.05000000,712.94372000,1633447799999
2021-10-05 18:30:00,1633447800000,49976.06000000,50058.51000000,49830.00000000,49838.73000000,539.56731000,1633448699999
2021-10-05 18:45:00,1633448700000,49838.73000000,49924.92000000,49718.91000000,49793.57000000,448.12392000,1633449599999
2021-10-05 19:00:00,1633449600000,49793.57000000,50020.02000000,49640.36000000,49992.04000000,544.80417000,1633450499999
2021-10-05 19:15:00,1633450500000,49992.04000000,50013.58000000,49750.00000000,49752.89000000,338.17455000,1633451399999
2021-10-05 19:30:00,1633451400000,49752.88000000,49989.99000000,49750.00000000,49939.01000000,338.67377000,1633452299999
2021-10-05 19:45:00,1633452300000,49939.02000000,50115.24000000,49932.77000000,50103.85000000,394.41357000,1633453199999
2021-10-05 20:00:00,1633453200000,50103.86000000,50149.22000000,49950.00000000,50077.01000000,556.00036000,1633454099999
2021-10-05 20:15:00,1633454100000,50077.01000000,50170.00000000,50064.49000000,50126.68000000,355.08702000,1633454999999
2021-10-05 20:30:00,1633455000000,50126.68000000,50183.00000000,50055.01000000,50139.33000000,263.72285000,1633455899999
2021-10-05 20:45:00,1633455900000,50139.33000000,50200.00000000,50045.65000000,50146.52000000,321.92611000,1633456799999
2021-10-05 21:00:00,1633456800000,50146.51000000,50299.20000000,50140.01000000,50222.27000000,500.46663000,1633457699999
2021-10-05 21:15:00,1633457700000,50222.28000000,50777.00000000,50218.12000000,50548.93000000,1391.89898000,1633458599999
2021-10-05 21:30:00,1633458600000,50548.94000000,50688.41000000,50447.02000000,50510.56000000,629.50995000,1633459499999
2021-10-05 21:45:00,1633459500000,50510.57000000,50646.61000000,50370.73000000,50612.44000000,650.48519000,1633460399999
2021-10-05 22:00:00,1633460400000,50612.45000000,50850.00000000,50557.89000000,50808.84000000,958.38677000,1633461299999
2021-10-05 22:15:00,1633461300000,50808.83000000,50898.47000000,50705.00000000,50736.17000000,606.70510000,1633462199999
2021-10-05 22:30:00,1633462200000,50736.17000000,50931.30000000,50726.02000000,50831.61000000,497.36983000,1633463099999
2021-10-05 22:45:00,1633463100000,50831.60000000,51388.00000000,50800.00000000,51190.11000000,2033.96252000,1633463999999
2021-10-05 23:00:00,1633464000000,51190.11000000,51473.99000000,51150.00000000,51444.68000000,821.87088000,1633464899999
2021-10-05 23:15:00,1633464900000,51440.00000000,51773.76000000,51322.88000000,51340.38000000,1466.92580000,1633465799999
2021-10-05 23:30:00,1633465800000,51340.38000000,51468.45000000,51104.47000000,51390.05000000,732.44217000,1633466699999
2021-10-05 23:45:00,1633466700000,51390.06000000,51573.68000000,51251.00000000,51462.29000000,424.21224000,1633467599999
2021-10-06 00:00:00,1633467600000,51461.16000000,51550.00000000,51299.06000000,51417.55000000,483.76415000,1633468499999
2021-10-06 00:15:00,1633468500000,51417.51000000,51747.86000000,51415.99000000,51716.21000000,653.00226000,1633469399999
2021-10-06 00:30:00,1633469400000,51716.21000000,51886.30000000,51570.40000000,51694.12000000,1181.78248000,1633470299999
2021-10-06 00:45:00,1633470300000,51694.13000000,51757.06000000,51499.85000000,51718.61000000,574.36877000,1633471199999
2021-10-06 01:00:00,1633471200000,51718.61000000,51775.42000000,51352.42000000,51426.51000000,690.79152000,1633472099999
2021-10-06 01:15:00,1633472100000,51426.51000000,51500.00000000,51335.72000000,51407.59000000,503.89145000,1633472999999
2021-10-06 01:30:00,1633473000000,51407.59000000,51500.00000000,51390.41000000,51454.47000000,359.08038000,1633473899999
2021-10-06 01:45:00,1633473900000,51454.47000000,51494.83000000,51318.24000000,51349.86000000,375.99325000,1633474799999
2021-10-06 02:00:00,1633474800000,51349.85000000,51495.75000000,51343.06000000,51432.56000000,380.15038000,1633475699999
2021-10-06 02:15:00,1633475700000,51432.56000000,51611.15000000,51401.00000000,51478.49000000,350.42553000,1633476599999
2021-10-06 02:30:00,1633476600000,51478.49000000,51620.37000000,51439.70000000,51580.58000000,303.73024000,1633477499999
2021-10-06 02:45:00,1633477500000,51580.58000000,51597.42000000,51428.99000000,51471.99000000,297.58167000,1633478399999
2021-10-06 03:00:00,1633478400000,51471.99000000,51539.30000000,51201.05000000,51349.99000000,766.00269000,1633479299999
2021-10-06 03:15:00,1633479300000,51349.08000000,51489.09000000,51230.71000000,51247.99000000,427.06746000,1633480199999
2021-10-06 03:30:00,1633480200000,51247.99000000,51342.75000000,51217.60000000,51317.28000000,412.21982000,1633481099999
2021-10-06 03:45:00,1633481100000,51317.28000000,51357.78000000,51230.01000000,51321.61000000,268.97785000,1633481999999
2021-10-06 04:00:00,1633482000000,51322.98000000,51330.95000000,50917.73000000,51119.10000000,703.56383000,1633482899999
2021-10-06 04:15:00,1633482900000,51119.09000000,51245.78000000,51020.76000000,51031.61000000,377.67906000,1633483799999
2021-10-06 04:30:00,1633483800000,51032.30000000,51244.75000000,50979.86000000,51201.66000000,331.02819000,1633484699999
2021-10-06 04:45:00,1633484700000,51205.37000000,51330.96000000,51191.22000000,51278.38000000,319.51798000,1633485599999
2021-10-06 05:00:00,1633485600000,51277.30000000,51385.28000000,51237.00000000,51275.66000000,323.76605000,1633486499999
2021-10-06 05:15:00,1633486500000,51275.65000000,51296.00000000,51152.00000000,51244.18000000,324.05911000,1633487399999
2021-10-06 05:30:00,1633487400000,51244.17000000,51565.29000000,51231.04000000,51565.29000000,443.74661000,1633488299999
2021-10-06 05:45:00,1633488300000,51565.28000000,51591.82000000,51490.40000000,51545.56000000,454.67667000,1633489199999
2021-10-06 06:00:00,1633489200000,51545.56000000,51564.46000000,51381.98000000,51392.43000000,427.30328000,1633490099999
2021-10-06 06:15:00,1633490100000,51395.36000000,51505.16000000,51326.16000000,51498.42000000,364.05077000,1633490999999
2021-10-06 06:30:00,1633491000000,51498.42000000,51600.00000000,51295.32000000,51485.99000000,520.47812000,1633491899999
2021-10-06 06:45:00,1633491900000,51486.00000000,51600.00000000,51446.04000000,51513.81000000,404.47471000,1633492799999
