,open_time,o,h,l,c,v,close_time
2021-10-08 15:00:00,1633694400000,55242.71000000,55300.00000000,54506.00000000,54841.01000000,3244.97667000,1633697999999
2021-10-08 16:00:00,1633698000000,54841.00000000,54936.54000000,54035.25000000,54178.99000000,2812.73748000,1633701599999
2021-10-08 17:00:00,1633701600000,54179.00000000,54689.99000000,54135.01000000,54570.92000000,1779.35498000,1633705199999
2021-10-08 18:00:00,1633705200000,54570.92000000,54799.99000000,54024.84000000,54324.84000000,1964.66998000,1633708799999
2021-10-08 19:00:00,1633708800000,54324.83000000,54520.70000000,54042.38000000,54298.45000000,1372.44648000,1633712399999
2021-10-08 20:00:00,1633712400000,54298.45000000,54447.92000000,54136.64000000,54293.89000000,901.44016000,1633715999999
2021-10-08 21:00:00,1633716000000,54293.88000000,54655.59000000,54233.43000000,54501.00000000,1221.64075000,1633719599999
2021-10-08 22:00:00,1633719600000,54500.99000000,54700.00000000,54251.31000000,54686.48000000,1146.07007000,1633723199999
2021-10-08 23:00:00,1633723200000,54686.48000000,54774.35000000,53778.00000000,54001.70000000,1914.12552000,1633726799999
2021-10-09 00:00:00,1633726800000,54001.70000000,54331.69000000,53878.18000000,54162.20000000,1204.61944000,1633730399999
2021-10-09 01:00:00,1633730400000,54162.20000000,54264.00000000,54035.28000000,54060.05000000,860.60420000,1633733999999
2021-10-09 02:00:00,1633734000000,54060.05000000,54136.60000000,53775.83000000,53951.43000000,1061.58716000,1633737599999
2021-10-09 03:00:00,1633737600000,53955.67000000,54298.35000000,53661.67000000,54264.17000000,1621.97337000,1633741199999
2021-10-09 04:00:00,1633741200000,54264.16000000,54307.71000000,53849.99000000,54007.55000000,1094.61868000,1633744799999
2021-10-09 05:00:00,1633744800000,54007.55000000,54197.76000000,53841.41000000,54156.38000000,854.51852000,1633748399999
2021-10-09 06:00:00,1633748400000,54156.38000000,54699.00000000,54110.00000000,54560.58000000,1314.06614000,1633751999999
2021-10-09 07:00:00,1633752000000,54562.58000000,54730.28000000,54479.23000000,54684.62000000,1006.31654000,1633755599999
2021-10-09 08:00:00,1633755600000,54684.63000000,54741.09000000,54384.27000000,54597.78000000,865.60336000,1633759199999
2021-10-09 09:00:00,1633759200000,54597.78000000,55100.00000000,54590.15000000,54837.89000000,2003.32793000,1633762799999
2021-10-09 10:00:00,1633762800000,54837.90000000,55050.00000000,54715.75000000,54917.55000000,970.95476000,1633766399999
2021-10-09 11:00:00,1633766400000,54917.56000000,55062.11000000,54523.23000000,54728.45000000,1225.19345000,1633769999999
