,open_time,o,h,l,c,v,close_time
2021-11-30 14:05:00,1638273900000,57963.80000000,58061.61000000,57900.50000000,57906.54000000,409.70551000,1638274199999
2021-11-30 14:10:00,1638274200000,57906.54000000,58314.20000000,57881.79000000,58200.56000000,447.04512000,1638274499999
2021-11-30 14:15:00,1638274500000,58200.56000000,58250.00000000,58125.01000000,58180.37000000,236.85209000,1638274799999
2021-11-30 14:20:00,1638274800000,58180.38000000,58200.00000000,57910.83000000,58053.42000000,257.61961000,1638275099999
2021-11-30 14:25:00,1638275100000,58053.41000000,58099.67000000,57868.93000000,57932.63000000,119.56880000,1638275399999
2021-11-30 14:30:00,1638275400000,57932.62000000,58108.17000000,57856.43000000,58023.20000000,270.34757000,1638275699999
2021-11-30 14:35:00,1638275700000,58023.19000000,58060.62000000,57870.25000000,57976.58000000,115.95779000,1638275999999
2021-11-30 14:40:00,1638276000000,57976.57000000,58167.99000000,57976.57000000,58085.36000000,130.43593000,1638276299999
2021-11-30 14:45:00,1638276300000,58085.35000000,58120.00000000,58000.43000000,58027.31000000,115.39432000,1638276599999
2021-11-30 14:50:00,1638276600000,58027.30000000,58048.00000000,57915.00000000,57917.63000000,147.97753000,1638276899999
2021-11-30 14:55:00,1638276900000,57917.63000000,57960.46000000,57799.95000000,57819.22000000,148.86043000,1638277199999
2021-11-30 15:00:00,1638277200000,57819.22000000,57900.00000000,57727.31000000,57730.19000000,138.74666000,1638277499999
2021-11-30 15:05:00,1638277500000,57730.19000000,58196.16000000,57613.79000000,58007.77000000,421.21920000,1638277799999
2021-11-30 15:10:00,1638277800000,58007.78000000,58199.99000000,57995.41000000,58174.04000000,206.03871000,1638278099999
2021-11-30 15:15:00,1638278100000,58174.03000000,58300.00000000,58121.98000000,58268.62000000,220.96600000,1638278399999
2021-11-30 15:20:00,1638278400000,58268.61000000,58275.01000000,57911.12000000,57981.72000000,185.39686000,1638278699999
2021-11-30 15:25:00,1638278700000,57981.71000000,58100.00000000,57958.12000000,58019.99000000,119.99171000,1638278999999
2021-11-30 15:30:00,1638279000000,58020.00000000,58060.81000000,57844.99000000,57867.17000000,143.29163000,1638279299999
2021-11-30 15:35:00,1638279300000,57867.16000000,57984.99000000,57864.79000000,57958.20000000,87.67923000,1638279599999
2021-11-30 15:40:00,1638279600000,57958.20000000,58114.83000000,57951.91000000,58043.23000000,190.20684000,1638279899999
2021-11-30 15:45:00,1638279900000,58043.23000000,58241.31000000,58043.23000000,58199.99000000,204.47320000,1638280199999
2021-11-30 15:50:00,1638280200000,58200.00000000,58333.82000000,58108.98000000,58152.66000000,211.94440000,1638280499999
2021-11-30 15:55:00,1638280500000,58152.66000000,58349.87000000,58077.98000000,58316.91000000,228.93379000,1638280799999
2021-11-30 16:00:00,1638280800000,58316.91000000,58444.94000000,58202.10000000,58393.06000000,496.73358000,1638281099999
