,open_time,o,h,l,c,v,close_time
2021-11-30 15:00:00,1638277200000,57819.22000000,58349.87000000,57613.79000000,58316.91000000,2358.88823000,1638280799999
2021-11-30 16:00:00,1638280800000,58316.91000000,58545.41000000,58039.61000000,58397.74000000,2915.21447000,1638284399999
2021-11-30 17:00:00,1638284400000,58397.74000000,59176.99000000,57102.05000000,57238.84000000,5729.92201000,1638287999999
2021-11-30 18:00:00,1638288000000,57233.80000000,57749.99000000,56506.72000000,56777.38000000,5851.47177000,1638291599999
2021-11-30 19:00:00,1638291600000,56777.38000000,57598.22000000,56500.00000000,57370.94000000,1892.02116000,1638295199999
2021-11-30 20:00:00,1638295200000,57370.95000000,58380.41000000,57197.06000000,58319.92000000,1763.41739000,1638298799999
2021-11-30 21:00:00,1638298800000,58319.92000000,58334.00000000,57381.62000000,57629.99000000,1454.49978000,1638302399999
2021-11-30 22:00:00,1638302400000,57629.99000000,57754.63000000,57193.17000000,57400.41000000,1104.11329000,1638305999999
2021-11-30 23:00:00,1638306000000,57400.41000000,57786.08000000,56850.00000000,57097.79000000,1452.77571000,1638309599999
2021-12-01 00:00:00,1638309600000,57097.80000000,57534.54000000,57000.78000000,57267.91000000,723.32185000,1638313199999
2021-12-01 01:00:00,1638313200000,57267.90000000,57424.23000000,56762.39000000,56950.56000000,1104.34335000,1638316799999
2021-12-01 02:00:00,1638316800000,56950.56000000,57686.12000000,56630.00000000,57577.07000000,1693.73069000,1638320399999
2021-12-01 03:00:00,1638320400000,57577.07000000,57577.08000000,56920.00000000,56994.58000000,1421.09313000,1638323999999
2021-12-01 04:00:00,1638324000000,56990.52000000,57362.68000000,56800.00000000,57261.52000000,1374.00141000,1638327599999
2021-12-01 05:00:00,1638327600000,57261.51000000,57390.00000000,57001.00000000,57362.01000000,1450.97727000,1638331199999
2021-12-01 06:00:00,1638331200000,57362.04000000,57415.16000000,56977.59000000,57054.36000000,1196.44262000,1638334799999
2021-12-01 07:00:00,1638334800000,57054.35000000,57130.76000000,56725.00000000,56782.01000000,1092.52965000,1638338399999
2021-12-01 08:00:00,1638338400000,56782.00000000,57098.93000000,56666.66000000,56933.02000000,984.42796000,1638341999999
2021-12-01 09:00:00,1638342000000,56933.02000000,57300.00000000,56819.00000000,57163.87000000,1602.92155000,1638345599999
2021-12-01 10:00:00,1638345600000,57163.87000000,57850.00000000,56800.00000000,56901.64000000,2926.22235000,1638349199999
2021-12-01 11:00:00,1638349200000,56907.34000000,57182.99000000,56717.22000000,57099.39000000,1670.94948000,1638352799999
2021-12-01 12:00:00,1638352800000,57099.38000000,57176.52000000,56821.63000000,56963.48000000,1504.19776000,1638356399999
2021-12-01 13:00:00,1638356400000,56963.49000000,57223.01000000,56758.87000000,57157.93000000,1693.80067000,1638359999999
2021-12-01 14:00:00,1638360000000,57160.66000000,57384.75000000,57000.00000000,57100.20000000,1270.35169000,1638363599999
2021-12-01 15:00:00,1638363600000,57100.20000000,57925.00000000,57038.64000000,57646.50000000,2362.16573000,1638367199999
2021-12-01 16:00:00,1638367200000,57646.49000000,58743.40000000,57639.62000000,58536.42000000,4327.73583000,1638370799999
2021-12-01 17:00:00,1638370800000,58536.41000000,58819.45000000,58275.03000000,58614.49000000,2819.95517000,1638374399999
2021-12-01 18:00:00,1638374400000,58614.49000000,59053.55000000,58400.00000000,58430.46000000,2823.23899000,1638377999999
2021-12-01 19:00:00,1638378000000,58430.45000000,58587.13000000,57958.02000000,57994.96000000,1727.54040000,1638381599999
2021-12-01 20:00:00,1638381600000,57994.97000000,58107.00000000,57400.00000000,57461.32000000,2227.49797000,1638385199999
2021-12-01 21:00:00,1638385200000,57461.32000000,57693.00000000,57000.89000000,57427.90000000,2195.92568000,1638388799999
2021-12-01 22:00:00,1638388800000,57427.91000000,57459.36000000,56618.72000000,56788.54000000,2491.72332000,1638392399999
2021-12-01 23:00:00,1638392400000,56788.54000000,57030.14000000,56458.01000000,56987.82000000,2077.66375000,1638395999999
2021-12-02 00:00:00,1638396000000,56987.82000000,57140.06000000,56633.32000000,57057.38000000,1171.00120000,1638399599999
2021-12-02 01:00:00,1638399600000,57057.39000000,57244.11000000,56977.70000000,57184.07000000,850.54229000,1638403199999
2021-12-02 02:00:00,1638403200000,57184.07000000,57195.67000000,56686.00000000,57009.29000000,1637.92321000,1638406799999
2021-12-02 03:00:00,1638406800000,57009.30000000,57375.47000000,56780.00000000,57201.41000000,1307.32909000,1638410399999
2021-12-02 04:00:00,1638410400000,57201.40000000,57221.73000000,56821.65000000,56950.36000000,1361.92224000,1638413999999
2021-12-02 05:00:00,1638414000000,56954.34000000,56954.34000000,55777.77000000,56300.12000000,4289.53100000,1638417599999
2021-12-02 06:00:00,1638417600000,56300.12000000,56666.00000000,56219.58000000,56475.01000000,1376.15536000,1638421199999
2021-12-02 07:00:00,1638421200000,56475.00000000,56976.25000000,56465.08000000,56907.99000000,1483.14396000,1638424799999
2021-12-02 08:00:00,1638424800000,56907.99000000,56908.00000000,56341.30000000,56653.05000000,1376.65045000,1638428399999
2021-12-02 09:00:00,1638428400000,56653.05000000,56961.43000000,56592.34000000,56810.43000000,1021.63219000,1638431999999
2021-12-02 10:00:00,1638432000000,56810.42000000,57175.65000000,56738.92000000,56944.94000000,1422.86646000,1638435599999
2021-12-02 11:00:00,1638435600000,56944.93000000,57088.30000000,56567.97000000,56683.64000000,1432.37223000,1638439199999
2021-12-02 12:00:00,1638439200000,56683.64000000,56788.00000000,56420.83000000,56553.26000000,940.37011000,1638442799999
2021-12-02 13:00:00,1638442800000,56547.88000000,56638.07000000,56038.15000000,56314.20000000,1961.97943000,1638446399999
2021-12-02 14:00:00,1638446400000,56309.51000000,56590.02000000,56012.82000000,56521.12000000,1431.97974000,1638449999999
2021-12-02 15:00:00,1638450000000,56521.13000000,56629.04000000,56062.00000000,56450.65000000,1485.36138000,1638453599999
2021-12-02 16:00:00,1638453600000,56450.66000000,57188.32000000,56306.00000000,57097.76000000,2053.82858000,1638457199999
2021-12-02 17:00:00,1638457200000,57097.77000000,57367.67000000,56105.59000000,56520.81000000,2509.35757000,1638460799999
2021-12-02 18:00:00,1638460800000,56516.95000000,56719.02000000,56001.00000000,56329.00000000,2264.38213000,1638464399999
2021-12-02 19:00:00,1638464400000,56329.00000000,56668.00000000,56265.00000000,56576.78000000,1470.92783000,1638467999999
2021-12-02 20:00:00,1638468000000,56576.77000000,56737.99000000,56133.07000000,56719.45000000,1309.16626000,1638471599999
2021-12-02 21:00:00,1638471600000,56719.46000000,56945.52000000,56501.41000000,56616.28000000,1369.17620000,1638475199999
2021-12-02 22:00:00,1638475200000,56616.27000000,57221.00000000,56540.00000000,57028.13000000,1528.94011000,1638478799999
2021-12-02 23:00:00,1638478800000,57028.12000000,57034.20000000,56772.16000000,56858.71000000,811.28852000,1638482399999
2021-12-03 00:00:00,1638482400000,56858.70000000,56918.35000000,56601.00000000,56841.70000000,699.49260000,1638485999999
2021-12-03 01:00:00,1638486000000,56841.70000000,56917.30000000,56365.00000000,56480.34000000,1028.28311000,1638489599999
2021-12-03 02:00:00,1638489600000,56484.26000000,56772.24000000,56419.09000000,56513.44000000,847.92592000,1638493199999
2021-12-03 03:00:00,1638493200000,56513.44000000,56727.18000000,56354.68000000,56494.53000000,1051.81425000,1638496799999
2021-12-03 04:00:00,1638496800000,56494.53000000,56576.52000000,56050.81000000,56257.75000000,1394.46500000,1638500399999
